Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
PII,POLARIS INC,Consumer Discretionary,Equity,"1,624,976.64",0,"1,624,976.64","35,824.00",45.36,United States,New York Stock Exchange Inc.,USD,1,USD,-
JWN,NORDSTROM INC,Consumer Discretionary,Equity,"1,627,312.05",0,"1,627,312.05","66,885.00",24.33,United States,New York Stock Exchange Inc.,USD,1,USD,-
ADT,ADT INC,Consumer Discretionary,Equity,"1,622,532.60",0,"1,622,532.60","215,190.00",7.54,United States,New York Stock Exchange Inc.,USD,1,USD,-
SAM,BOSTON BEER INC CLASS A,Consumer Staples,Equity,"1,593,681.92",0,"1,593,681.92","6,592.00",241.76,United States,New York Stock Exchange Inc.,USD,1,USD,-
BIRK,BIRKENSTOCK HOLDING PLC,Consumer Discretionary,Equity,"1,578,881.81",0,"1,578,881.81","27,763.00",56.87,United States,New York Stock Exchange Inc.,USD,1,USD,-
CNXC,CONCENTRIX CORP,Industrials,Equity,"1,548,190.49",0,"1,548,190.49","32,207.00",48.07,United States,NASDAQ,USD,1,USD,-
CWEN,CLEARWAY ENERGY INC CLASS C,Utilities,Equity,"1,542,775.00",0,"1,542,775.00","58,750.00",26.26,United States,New York Stock Exchange Inc.,USD,1,USD,-
IPGP,IPG PHOTONICS CORP,Information Technology,Equity,"1,496,709.88",0,"1,496,709.88","21,134.00",70.82,United States,NASDAQ,USD,1,USD,-
HAYW,HAYWARD HOLDINGS INC,Industrials,Equity,"1,484,630.16",0,"1,484,630.16","101,064.00",14.69,United States,New York Stock Exchange Inc.,USD,1,USD,-
INFA,INFORMATICA INC CLASS A,Information Technology,Equity,"1,481,468.19",0,"1,481,468.19","57,399.00",25.81,United States,New York Stock Exchange Inc.,USD,1,USD,-
SHC,SOTERA HEALTH COMPANY,Health Care,Equity,"1,471,673.40",0,"1,471,673.40","106,643.00",13.8,United States,NASDAQ,USD,1,USD,-
CLVT,CLARIVATE PLC,Industrials,Equity,"1,449,382.98",0,"1,449,382.98","289,298.00",5.01,United States,New York Stock Exchange Inc.,USD,1,USD,-
SPB,SPECTRUM BRANDS HOLDINGS INC,Consumer Staples,Equity,"1,442,953.12",0,"1,442,953.12","18,872.00",76.46,United States,New York Stock Exchange Inc.,USD,1,USD,-
LBTYK,LIBERTY GLOBAL LTD CLASS C,Communication,Equity,"1,415,827.16",0,"1,415,827.16","121,426.00",11.66,United States,NASDAQ,USD,1,USD,-
FWONA,LIBERTY MEDIA FORMULA ONE CORP SER,Communication,Equity,"1,386,504.72",0,"1,386,504.72","14,986.00",92.52,United States,NASDAQ,USD,1,USD,-
PINC,PREMIER INC CLASS A,Health Care,Equity,"1,381,189.70",0,"1,381,189.70","72,886.00",18.95,United States,NASDAQ,USD,1,USD,-
VSTS,VESTIS CORP,Industrials,Equity,"1,367,987.50",0,"1,367,987.50","99,490.00",13.75,United States,New York Stock Exchange Inc.,USD,1,USD,-
PPC,PILGRIMS PRIDE CORP,Consumer Staples,Equity,"1,357,967.45",0,"1,357,967.45","27,913.00",48.65,United States,NASDAQ,USD,1,USD,-
AS,AMER SPORTS INC,Consumer Discretionary,Equity,"1,349,114.54",0,"1,349,114.54","41,422.00",32.57,United States,New York Stock Exchange Inc.,USD,1,USD,-
PYCR,PAYCOR HCM INC,Industrials,Equity,"1,340,524.88",0,"1,340,524.88","60,493.00",22.16,United States,NASDAQ,USD,1,USD,-
