Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
PGR,PROGRESSIVE CORP,Financials,Equity,"104,499,265.20",0.26,"104,499,265.20","415,752.00",251.35,United States,New York Stock Exchange Inc.,USD,1,USD,-
PFE,PFIZER INC,Health Care,Equity,"104,159,242.53",0.26,"104,159,242.53","4,032,491.00",25.83,United States,New York Stock Exchange Inc.,USD,1,USD,-
SYK,STRYKER CORP,Health Care,Equity,"101,939,704.46",0.26,"101,939,704.46","257,378.00",396.07,United States,New York Stock Exchange Inc.,USD,1,USD,-
TJX,TJX INC,Consumer Discretionary,Equity,"101,676,002.64",0.25,"101,676,002.64","805,929.00",126.16,United States,New York Stock Exchange Inc.,USD,1,USD,-
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"101,442,666.12",0.25,"101,442,666.12","1,449,388.00",69.99,United States,New York Stock Exchange Inc.,USD,1,USD,-
NEE,NEXTERA ENERGY INC,Utilities,Equity,"101,305,366.17",0.25,"101,305,366.17","1,462,471.00",69.27,United States,New York Stock Exchange Inc.,USD,1,USD,-
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"97,245,904.86",0.24,"97,245,904.86","463,473.00",209.82,United States,NASDAQ,USD,1,USD,-
DHR,DANAHER CORP,Health Care,Equity,"96,414,960.97",0.24,"96,414,960.97","459,097.00",210.01,United States,New York Stock Exchange Inc.,USD,1,USD,-
FI,FISERV INC,Financials,Equity,"93,412,172.88",0.23,"93,412,172.88","403,962.00",231.24,United States,New York Stock Exchange Inc.,USD,1,USD,-
BA,BOEING,Industrials,Equity,"93,265,972.80",0.23,"93,265,972.80","504,686.00",184.8,United States,New York Stock Exchange Inc.,USD,1,USD,-
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"93,041,527.41",0.23,"93,041,527.41","2,699,203.00",34.47,United States,NASDAQ,USD,1,USD,-
COP,CONOCOPHILLIPS,Energy,Equity,"91,980,278.70",0.23,"91,980,278.70","920,355.00",99.94,United States,New York Stock Exchange Inc.,USD,1,USD,-
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"90,332,014.05",0.23,"90,332,014.05","292,365.00",308.97,United States,NASDAQ,USD,1,USD,-
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"90,015,008.80",0.23,"90,015,008.80","805,864.00",111.7,United States,NASDAQ,USD,1,USD,-
BX,BLACKSTONE INC,Financials,Equity,"89,576,092.65",0.22,"89,576,092.65","513,183.00",174.55,United States,New York Stock Exchange Inc.,USD,1,USD,-
ETN,EATON PLC,Industrials,Equity,"88,874,188.85",0.22,"88,874,188.85","281,381.00",315.85,United States,New York Stock Exchange Inc.,USD,1,USD,-
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"88,748,480.28",0.22,"88,748,480.28","1,061,077.00",83.64,United States,New York Stock Exchange Inc.,USD,1,USD,-
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"88,527,184.92",0.22,"88,527,184.92","183,987.00",481.16,United States,NASDAQ,USD,1,USD,-
GILD,GILEAD SCIENCES INC,Health Care,Equity,"87,062,265.12",0.22,"87,062,265.12","888,028.00",98.04,United States,NASDAQ,USD,1,USD,-
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"86,224,488.71",0.22,"86,224,488.71","460,183.00",187.37,United States,NASDAQ,USD,1,USD,-
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"84,513,889.14",0.21,"84,513,889.14","733,182.00",115.27,United States,New York Stock Exchange Inc.,USD,1,USD,-
TMUS,T MOBILE US INC,Communication,Equity,"84,155,700.09",0.21,"84,155,700.09","340,477.00",247.17,United States,NASDAQ,USD,1,USD,-
DE,DEERE,Industrials,Equity,"83,502,038.36",0.21,"83,502,038.36","179,582.00",464.98,United States,New York Stock Exchange Inc.,USD,1,USD,-
MDT,MEDTRONIC PLC,Health Care,Equity,"83,019,016.10",0.21,"83,019,016.10","914,105.00",90.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"82,860,677.46",0.21,"82,860,677.46","1,443,063.00",57.42,United States,New York Stock Exchange Inc.,USD,1,USD,-
MMC,MARSH & MCLENNAN INC,Financials,Equity,"79,487,364.00",0.2,"79,487,364.00","351,714.00",226,United States,New York Stock Exchange Inc.,USD,1,USD,-
CB,CHUBB LTD,Financials,Equity,"78,737,613.84",0.2,"78,737,613.84","288,543.00",272.88,United States,New York Stock Exchange Inc.,USD,1,USD,-
PLD,PROLOGIS REIT INC,Real Estate,Equity,"78,018,997.64",0.2,"78,018,997.64","658,166.00",118.54,United States,New York Stock Exchange Inc.,USD,1,USD,-
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"75,721,777.89",0.19,"75,721,777.89","914,183.00",82.83,United States,NASDAQ,USD,1,USD,-
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"74,162,753.86",0.19,"74,162,753.86","784,459.00",94.54,United States,NASDAQ,USD,1,USD,-
ADI,ANALOG DEVICES INC,Information Technology,Equity,"73,269,219.52",0.18,"73,269,219.52","352,544.00",207.83,United States,NASDAQ,USD,1,USD,-
KLAC,KLA CORP,Information Technology,Equity,"73,111,865.40",0.18,"73,111,865.40","95,970.00",761.82,United States,NASDAQ,USD,1,USD,-
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity,"72,743,912.12",0.18,"72,743,912.12","610,063.00",119.24,United States,NASDAQ,USD,1,USD,-
KKR,KKR AND CO INC,Financials,Equity,"72,673,458.72",0.18,"72,673,458.72","479,408.00",151.59,United States,New York Stock Exchange Inc.,USD,1,USD,-
GEV,GE VERNOVA INC,Industrials,Equity,"72,649,175.77",0.18,"72,649,175.77","193,819.00",374.83,United States,New York Stock Exchange Inc.,USD,1,USD,-
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,"71,002,720.20",0.18,"71,002,720.20","186,540.00",380.63,United States,NASDAQ,USD,1,USD,-
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,"69,955,136.20",0.18,"69,955,136.20","224,359.00",311.8,United States,NASDAQ,USD,1,USD,-
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"68,813,517.93",0.17,"68,813,517.93","163,643.00",420.51,United States,NASDAQ,USD,1,USD,-
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,"67,734,839.04",0.17,"67,734,839.04","403,953.00",167.68,United States,New York Stock Exchange Inc.,USD,1,USD,-
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"67,275,308.88",0.17,"67,275,308.88","149,994.00",448.52,United States,New York Stock Exchange Inc.,USD,1,USD,-
SPOT,SPOTIFY TECHNOLOGY SA,Communication,Equity,"65,513,568.12",0.16,"65,513,568.12","104,676.00",625.87,Sweden,New York Stock Exchange Inc.,USD,1,USD,-
SO,SOUTHERN,Utilities,Equity,"65,380,834.26",0.16,"65,380,834.26","780,294.00",83.79,United States,New York Stock Exchange Inc.,USD,1,USD,-
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"64,451,368.67",0.16,"64,451,368.67","165,061.00",390.47,United States,New York Stock Exchange Inc.,USD,1,USD,-
EQIX,EQUINIX REIT INC,Real Estate,Equity,"64,317,576.96",0.16,"64,317,576.96","68,544.00",938.34,United States,NASDAQ,USD,1,USD,-
WM,WASTE MANAGEMENT INC,Industrials,Equity,"64,229,054.88",0.16,"64,229,054.88","285,564.00",224.92,United States,New York Stock Exchange Inc.,USD,1,USD,-
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"63,487,840.64",0.16,"63,487,840.64","1,206,076.00",52.64,United States,New York Stock Exchange Inc.,USD,1,USD,-
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"63,072,900.00",0.16,"63,072,900.00","332,400.00",189.75,United States,New York Stock Exchange Inc.,USD,1,USD,-
PH,PARKER-HANNIFIN CORP,Industrials,Equity,"62,990,236.40",0.16,"62,990,236.40","91,079.00",691.6,United States,New York Stock Exchange Inc.,USD,1,USD,-
DUK,DUKE ENERGY CORP,Utilities,Equity,"62,927,709.32",0.16,"62,927,709.32","549,491.00",114.52,United States,New York Stock Exchange Inc.,USD,1,USD,-
CME,CME GROUP INC CLASS A,Financials,Equity,"62,565,293.85",0.16,"62,565,293.85","255,985.00",244.41,United States,NASDAQ,USD,1,USD,-
WELL,WELLTOWER INC,Real Estate,Equity,"62,406,262.03",0.16,"62,406,262.03","438,277.00",142.39,United States,New York Stock Exchange Inc.,USD,1,USD,-
APO,APOLLO GLOBAL MANAGEMENT INC,Financials,Equity,"61,260,834.24",0.15,"61,260,834.24","371,548.00",164.88,United States,New York Stock Exchange Inc.,USD,1,USD,-
SHW,SHERWIN WILLIAMS,Materials,Equity,"60,968,365.92",0.15,"60,968,365.92","166,936.00",365.22,United States,New York Stock Exchange Inc.,USD,1,USD,-
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"60,312,678.88",0.15,"60,312,678.88","840,712.00",71.74,United States,New York Stock Exchange Inc.,USD,1,USD,-
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"58,935,637.18",0.15,"58,935,637.18","519,394.00",113.47,United States,New York Stock Exchange Inc.,USD,1,USD,-
MMM,3M,Industrials,Equity,"58,905,799.68",0.15,"58,905,799.68","386,724.00",152.32,United States,New York Stock Exchange Inc.,USD,1,USD,-
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"58,907,975.46",0.15,"58,907,975.46","841,182.00",70.03,United States,New York Stock Exchange Inc.,USD,1,USD,-
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"58,851,778.08",0.15,"58,851,778.08","194,288.00",302.91,United States,NASDAQ,USD,1,USD,-
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"58,844,288.58",0.15,"58,844,288.58","3,036,341.00",19.38,United States,NASDAQ,USD,1,USD,-
SNPS,SYNOPSYS INC,Information Technology,Equity,"57,772,185.72",0.14,"57,772,185.72","108,354.00",533.18,United States,NASDAQ,USD,1,USD,-
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity,"57,660,166.90",0.14,"57,660,166.90","161,197.00",357.7,United States,New York Stock Exchange Inc.,USD,1,USD,-
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,Equity,"57,257,325.50",0.14,"57,257,325.50","282,850.00",202.43,United States,New York Stock Exchange Inc.,USD,1,USD,-
ZTS,ZOETIS INC CLASS A,Health Care,Equity,"56,756,329.32",0.14,"56,756,329.32","325,961.00",174.12,United States,New York Stock Exchange Inc.,USD,1,USD,-
MCO,MOODYS CORP,Financials,Equity,"56,616,264.12",0.14,"56,616,264.12","112,593.00",502.84,United States,New York Stock Exchange Inc.,USD,1,USD,-
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Equity,"56,585,041.20",0.14,"56,585,041.20","117,372.00",482.1,United States,New York Stock Exchange Inc.,USD,1,USD,-
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,"56,245,355.91",0.14,"56,245,355.91","715,863.00",78.57,United States,NASDAQ,USD,1,USD,-
AJG,ARTHUR J GALLAGHER,Financials,Equity,"55,900,973.04",0.14,"55,900,973.04","174,696.00",319.99,United States,New York Stock Exchange Inc.,USD,1,USD,-
CI,CIGNA,Health Care,Equity,"55,834,352.47",0.14,"55,834,352.47","194,389.00",287.23,United States,New York Stock Exchange Inc.,USD,1,USD,-
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Equity,"55,771,041.64",0.14,"55,771,041.64","972,977.00",57.32,United States,New York Stock Exchange Inc.,USD,1,USD,-
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,"55,744,446.24",0.14,"55,744,446.24","269,766.00",206.64,United States,New York Stock Exchange Inc.,USD,1,USD,-
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"55,607,400.14",0.14,"55,607,400.14","55,607,400.00",1,United States,-,USD,1,USD,-
MCK,MCKESSON CORP,Health Care,Equity,"55,385,113.25",0.14,"55,385,113.25","92,347.00",599.75,United States,New York Stock Exchange Inc.,USD,1,USD,-
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,"55,139,864.06",0.14,"55,139,864.06","953,482.00",57.83,United States,NASDAQ,USD,1,USD,-
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,"54,787,896.54",0.14,"54,787,896.54","41,171.00","1,330.74",United States,NASDAQ,USD,1,USD,1-Jan-70
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,"53,825,264.01",0.13,"53,825,264.01","74,543.00",722.07,United States,NASDAQ,USD,1,USD,-
AON,AON PLC CLASS A,Financials,Equity,"53,809,632.24",0.13,"53,809,632.24","139,867.00",384.72,United States,New York Stock Exchange Inc.,USD,1,USD,-
ITW,ILLINOIS TOOL INC,Industrials,Equity,"53,095,452.96",0.13,"53,095,452.96","208,144.00",255.09,United States,New York Stock Exchange Inc.,USD,1,USD,-
USB,US BANCORP,Financials,Equity,"53,019,709.82",0.13,"53,019,709.82","1,110,593.00",47.74,United States,New York Stock Exchange Inc.,USD,1,USD,-
EMR,EMERSON ELECTRIC,Industrials,Equity,"51,912,788.04",0.13,"51,912,788.04","407,223.00",127.48,United States,New York Stock Exchange Inc.,USD,1,USD,-
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Equity,"51,913,119.17",0.13,"51,913,119.17","158,209.00",328.13,United States,New York Stock Exchange Inc.,USD,1,USD,-
EOG,EOG RESOURCES INC,Energy,Equity,"51,637,174.92",0.13,"51,637,174.92","407,619.00",126.68,United States,New York Stock Exchange Inc.,USD,1,USD,-
CRH,CRH PUBLIC LIMITED PLC,Materials,Equity,"51,509,649.58",0.13,"51,509,649.58","489,682.00",105.19,United States,New York Stock Exchange Inc.,USD,1,USD,-
TDG,TRANSDIGM GROUP INC,Industrials,Equity,"50,435,569.60",0.13,"50,435,569.60","38,816.00","1,299.35",United States,New York Stock Exchange Inc.,USD,1,USD,-
CTAS,CINTAS CORP,Industrials,Equity,"50,267,801.69",0.13,"50,267,801.69","246,061.00",204.29,United States,NASDAQ,USD,1,USD,-
GD,GENERAL DYNAMICS CORP,Industrials,Equity,"49,718,472.10",0.12,"49,718,472.10","194,570.00",255.53,United States,New York Stock Exchange Inc.,USD,1,USD,-
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,"49,627,226.88",0.12,"49,627,226.88","579,216.00",85.68,United States,New York Stock Exchange Inc.,USD,1,USD,-
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,"49,456,284.55",0.12,"49,456,284.55","163,249.00",302.95,United States,NASDAQ,USD,1,USD,-
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,"49,377,707.50",0.12,"49,377,707.50","251,350.00",196.45,United States,NASDAQ,USD,1,USD,-
CVS,CVS HEALTH CORP,Health Care,Equity,"48,733,121.28",0.12,"48,733,121.28","898,472.00",54.24,United States,New York Stock Exchange Inc.,USD,1,USD,-
WMB,WILLIAMS INC,Energy,Equity,"48,559,101.72",0.12,"48,559,101.72","866,972.00",56.01,United States,New York Stock Exchange Inc.,USD,1,USD,-
ADSK,AUTODESK INC,Information Technology,Equity,"47,183,948.80",0.12,"47,183,948.80","153,344.00",307.7,United States,NASDAQ,USD,1,USD,-
FTNT,FORTINET INC,Information Technology,Equity,"47,143,896.80",0.12,"47,143,896.80","450,190.00",104.72,United States,NASDAQ,USD,1,USD,-
BDX,BECTON DICKINSON,Health Care,Equity,"46,819,119.81",0.12,"46,819,119.81","206,061.00",227.21,United States,New York Stock Exchange Inc.,USD,1,USD,-
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,Equity,"46,046,605.83",0.12,"46,046,605.83","170,297.00",270.39,United States,New York Stock Exchange Inc.,USD,1,USD,-
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity,"45,849,734.70",0.11,"45,849,734.70","98,274.00",466.55,United States,New York Stock Exchange Inc.,USD,1,USD,-
TFC,TRUIST FINANCIAL CORP,Financials,Equity,"45,849,826.35",0.11,"45,849,826.35","952,229.00",48.15,United States,New York Stock Exchange Inc.,USD,1,USD,-
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,Equity,"45,465,473.20",0.11,"45,465,473.20","168,266.00",270.2,United States,New York Stock Exchange Inc.,USD,1,USD,-
BK,BANK OF NEW YORK MELLON CORP,Financials,Equity,"45,310,492.80",0.11,"45,310,492.80","524,427.00",86.4,United States,New York Stock Exchange Inc.,USD,1,USD,-
CSX,CSX CORP,Industrials,Equity,"44,873,051.12",0.11,"44,873,051.12","1,370,588.00",32.74,United States,NASDAQ,USD,1,USD,-
ECL,ECOLAB INC,Materials,Equity,"44,538,593.99",0.11,"44,538,593.99","178,133.00",250.03,United States,New York Stock Exchange Inc.,USD,1,USD,-
TGT,TARGET CORP,Consumer Staples,Equity,"44,387,295.68",0.11,"44,387,295.68","329,576.00",134.68,United States,New York Stock Exchange Inc.,USD,1,USD,-
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity,"44,264,658.82",0.11,"44,264,658.82","75,871.00",583.42,United States,NASDAQ,USD,1,USD,-
HCA,HCA HEALTHCARE INC,Health Care,Equity,"42,719,831.08",0.11,"42,719,831.08","131,636.00",324.53,United States,New York Stock Exchange Inc.,USD,1,USD,-
AZO,AUTOZONE INC,Consumer Discretionary,Equity,"41,957,349.07",0.11,"41,957,349.07","12,103.00","3,466.69",United States,New York Stock Exchange Inc.,USD,1,USD,-
WDAY,WORKDAY INC CLASS A,Information Technology,Equity,"41,940,262.84",0.1,"41,940,262.84","150,962.00",277.82,United States,NASDAQ,USD,1,USD,-
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Equity,"41,837,136.00",0.1,"41,837,136.00","475,422.00",88,United States,New York Stock Exchange Inc.,USD,1,USD,-
SNOW,SNOWFLAKE INC CLASS A,Information Technology,Equity,"41,776,512.83",0.1,"41,776,512.83","224,159.00",186.37,United States,New York Stock Exchange Inc.,USD,1,USD,-
FDX,FEDEX CORP,Industrials,Equity,"41,757,197.36",0.1,"41,757,197.36","161,368.00",258.77,United States,New York Stock Exchange Inc.,USD,1,USD,-
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Equity,"41,577,650.73",0.1,"41,577,650.73","230,769.00",180.17,United States,New York Stock Exchange Inc.,USD,1,USD,-
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,"41,079,598.47",0.1,"41,079,598.47","309,871.00",132.57,United States,NASDAQ,USD,1,USD,-
VST,VISTRA CORP,Utilities,Equity,"40,975,565.64",0.1,"40,975,565.64","241,203.00",169.88,United States,New York Stock Exchange Inc.,USD,1,USD,-
AFL,AFLAC INC,Financials,Equity,"40,964,610.48",0.1,"40,964,610.48","397,406.00",103.08,United States,New York Stock Exchange Inc.,USD,1,USD,-
NSC,NORFOLK SOUTHERN CORP,Industrials,Equity,"40,541,845.24",0.1,"40,541,845.24","161,213.00",251.48,United States,New York Stock Exchange Inc.,USD,1,USD,-
TRV,TRAVELERS COMPANIES INC,Financials,Equity,"40,348,232.84",0.1,"40,348,232.84","162,931.00",247.64,United States,New York Stock Exchange Inc.,USD,1,USD,-
SLB,SCHLUMBERGER NV,Energy,Equity,"40,202,069.85",0.1,"40,202,069.85","1,003,797.00",40.05,United States,New York Stock Exchange Inc.,USD,1,USD,-
OKE,ONEOK INC,Energy,Equity,"39,733,104.48",0.1,"39,733,104.48","414,664.00",95.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate,Equity,"39,607,052.22",0.1,"39,607,052.22","235,602.00",168.11,United States,New York Stock Exchange Inc.,USD,1,USD,-
PCAR,PACCAR INC,Industrials,Equity,"39,328,074.08",0.1,"39,328,074.08","365,231.00",107.68,United States,NASDAQ,USD,1,USD,-
COIN,COINBASE GLOBAL INC CLASS A,Financials,Equity,"38,948,691.09",0.1,"38,948,691.09","144,057.00",270.37,United States,NASDAQ,USD,1,USD,-
CARR,CARRIER GLOBAL CORP,Industrials,Equity,"38,795,450.51",0.1,"38,795,450.51","594,931.00",65.21,United States,New York Stock Exchange Inc.,USD,1,USD,-
MSTR,MICROSTRATEGY INC CLASS A,Information Technology,Equity,"38,098,998.52",0.1,"38,098,998.52","117,062.00",325.46,United States,NASDAQ,USD,1,USD,-
FCX,FREEPORT MCMORAN INC,Materials,Equity,"37,840,804.25",0.09,"37,840,804.25","1,018,595.00",37.15,United States,New York Stock Exchange Inc.,USD,1,USD,-
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,"37,710,298.71",0.09,"37,710,298.71","376,463.00",100.17,United States,NASDAQ,USD,1,USD,-
AMP,AMERIPRISE FINANCE INC,Financials,Equity,"37,429,098.30",0.09,"37,429,098.30","69,102.00",541.65,United States,New York Stock Exchange Inc.,USD,1,USD,-
GM,GENERAL MOTORS,Consumer Discretionary,Equity,"37,267,300.48",0.09,"37,267,300.48","777,536.00",47.93,United States,New York Stock Exchange Inc.,USD,1,USD,-
HWM,HOWMET AEROSPACE INC,Industrials,Equity,"37,073,568.00",0.09,"37,073,568.00","287,392.00",129,United States,New York Stock Exchange Inc.,USD,1,USD,-
SRE,SEMPRA,Utilities,Equity,"36,999,858.24",0.09,"36,999,858.24","450,778.00",82.08,United States,New York Stock Exchange Inc.,USD,1,USD,-
KMI,KINDER MORGAN INC,Energy,Equity,"36,802,763.14",0.09,"36,802,763.14","1,374,263.00",26.78,United States,New York Stock Exchange Inc.,USD,1,USD,-
NEM,NEWMONT,Materials,Equity,"36,731,542.32",0.09,"36,731,542.32","818,439.00",44.88,United States,New York Stock Exchange Inc.,USD,1,USD,-
CPRT,COPART INC,Industrials,Equity,"36,605,167.65",0.09,"36,605,167.65","618,435.00",59.19,United States,NASDAQ,USD,1,USD,-
TTD,TRADE DESK INC CLASS A,Communication,Equity,"36,393,005.55",0.09,"36,393,005.55","317,427.00",114.65,United States,NASDAQ,USD,1,USD,-
MPC,MARATHON PETROLEUM CORP,Energy,Equity,"36,139,285.24",0.09,"36,139,285.24","237,868.00",151.93,United States,New York Stock Exchange Inc.,USD,1,USD,-
TEAM,ATLASSIAN CORP CLASS A,Information Technology,Equity,"36,107,291.00",0.09,"36,107,291.00","113,189.00",319,United States,NASDAQ,USD,1,USD,-
DFS,DISCOVER FINANCIAL SERVICES,Financials,Equity,"36,091,457.92",0.09,"36,091,457.92","178,036.00",202.72,United States,New York Stock Exchange Inc.,USD,1,USD,-
CMI,CUMMINS INC,Industrials,Equity,"35,942,658.90",0.09,"35,942,658.90","97,366.00",369.15,United States,New York Stock Exchange Inc.,USD,1,USD,-
ALL,ALLSTATE CORP,Financials,Equity,"35,729,399.16",0.09,"35,729,399.16","186,207.00",191.88,United States,New York Stock Exchange Inc.,USD,1,USD,-
PSX,PHILLIPS,Energy,Equity,"35,458,857.70",0.09,"35,458,857.70","293,485.00",120.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
URI,UNITED RENTALS INC,Industrials,Equity,"35,270,145.28",0.09,"35,270,145.28","47,062.00",749.44,United States,New York Stock Exchange Inc.,USD,1,USD,-
MET,METLIFE INC,Financials,Equity,"34,936,241.16",0.09,"34,936,241.16","417,548.00",83.67,United States,New York Stock Exchange Inc.,USD,1,USD,-
LNG,CHENIERE ENERGY INC,Energy,Equity,"34,717,293.24",0.09,"34,717,293.24","158,802.00",218.62,United States,New York Stock Exchange Inc.,USD,1,USD,-
AXON,AXON ENTERPRISE INC,Industrials,Equity,"34,527,078.00",0.09,"34,527,078.00","50,970.00",677.4,United States,NASDAQ,USD,1,USD,-
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,Equity,"34,498,396.02",0.09,"34,498,396.02","462,569.00",74.58,United States,New York Stock Exchange Inc.,USD,1,USD,-
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary,Equity,"34,419,104.08",0.09,"34,419,104.08","83,576.00",411.83,United States,NASDAQ,USD,1,USD,-
PAYX,PAYCHEX INC,Industrials,Equity,"34,207,980.38",0.09,"34,207,980.38","228,038.00",150.01,United States,NASDAQ,USD,1,USD,-
XYZ,BLOCK INC CLASS A,Financials,Equity,"34,156,027.52",0.09,"34,156,027.52","396,794.00",86.08,United States,New York Stock Exchange Inc.,USD,1,USD,-
PSA,PUBLIC STORAGE REIT,Real Estate,Equity,"33,993,131.04",0.09,"33,993,131.04","112,233.00",302.88,United States,New York Stock Exchange Inc.,USD,1,USD,-
ROST,ROSS STORES INC,Consumer Discretionary,Equity,"33,814,893.48",0.08,"33,814,893.48","233,174.00",145.02,United States,NASDAQ,USD,1,USD,-
O,REALTY INCOME REIT CORP,Real Estate,Equity,"33,690,908.17",0.08,"33,690,908.17","620,573.00",54.29,United States,New York Stock Exchange Inc.,USD,1,USD,-
BKR,BAKER HUGHES CLASS A,Energy,Equity,"33,392,397.42",0.08,"33,392,397.42","710,779.00",46.98,United States,NASDAQ,USD,1,USD,-
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials,Equity,"32,428,669.62",0.08,"32,428,669.62","391,367.00",82.86,United States,New York Stock Exchange Inc.,USD,1,USD,-
D,DOMINION ENERGY INC,Utilities,Equity,"32,388,619.24",0.08,"32,388,619.24","595,598.00",54.38,United States,New York Stock Exchange Inc.,USD,1,USD,-
RSG,REPUBLIC SERVICES INC,Industrials,Equity,"32,241,093.84",0.08,"32,241,093.84","145,512.00",221.57,United States,New York Stock Exchange Inc.,USD,1,USD,-
GWW,WW GRAINGER INC,Industrials,Equity,"32,233,487.52",0.08,"32,233,487.52","30,836.00","1,045.32",United States,New York Stock Exchange Inc.,USD,1,USD,-
PWR,QUANTA SERVICES INC,Industrials,Equity,"32,005,154.72",0.08,"32,005,154.72","102,884.00",311.08,United States,New York Stock Exchange Inc.,USD,1,USD,-
MSCI,MSCI INC,Financials,Equity,"31,954,212.16",0.08,"31,954,212.16","54,392.00",587.48,United States,New York Stock Exchange Inc.,USD,1,USD,-
FICO,FAIR ISAAC CORP,Information Technology,Equity,"31,772,695.50",0.08,"31,772,695.50","16,835.00","1,887.30",United States,New York Stock Exchange Inc.,USD,1,USD,-
CBRE,CBRE GROUP INC CLASS A,Real Estate,Equity,"31,314,871.36",0.08,"31,314,871.36","216,592.00",144.58,United States,New York Stock Exchange Inc.,USD,1,USD,-
DAL,DELTA AIR LINES INC,Industrials,Equity,"31,179,015.60",0.08,"31,179,015.60","459,055.00",67.92,United States,New York Stock Exchange Inc.,USD,1,USD,-
CTVA,CORTEVA INC,Materials,Equity,"31,170,583.64",0.08,"31,170,583.64","499,849.00",62.36,United States,New York Stock Exchange Inc.,USD,1,USD,-
NU,NU HOLDINGS LTD CLASS A,Financials,Equity,"31,082,526.28",0.08,"31,082,526.28","2,255,626.00",13.78,Brazil,New York Stock Exchange Inc.,USD,1,USD,-
TRGP,TARGA RESOURCES CORP,Energy,Equity,"30,998,895.22",0.08,"30,998,895.22","155,789.00",198.98,United States,New York Stock Exchange Inc.,USD,1,USD,-
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,Equity,"30,723,174.75",0.08,"30,723,174.75","352,775.00",87.09,United States,NASDAQ,USD,1,USD,-
DDOG,DATADOG INC CLASS A,Information Technology,Equity,"30,686,762.20",0.08,"30,686,762.20","211,852.00",144.85,United States,NASDAQ,USD,1,USD,-
KMB,KIMBERLY CLARK CORP,Consumer Staples,Equity,"30,676,221.37",0.08,"30,676,221.37","238,373.00",128.69,United States,New York Stock Exchange Inc.,USD,1,USD,-
